business_id,city,name,review_count,stars,state,price_range,number_of_checkins,category,restaurant
5UmKMjUEUNdYWqANhGckJw,Dravosburg,Mr Hoagie,4,4.5,PA,1,0,Fast Food,1
UsFtqoBl7naz8AVUBZMjQQ,Dravosburg,Clancy's Pub,4,3.5,PA,1,0,Nightlife,0
3eu6MEFlq2Dg7bQh8QbdOg,Dravosburg,Joe Cislo's Auto,3,5,PA,,0,,0
cE27W9VPgO88Qxe4ol6y_g,Bethel Park,Cool Springs Golf Center,5,2.5,PA,,9,,0
HZdLhv6COCleJMo7nPl-RA,Pittsburgh,Verizon,5,2.5,PA,2,0,,0
VHYT1qgQw5JvXAlUDhTArA,Pittsburgh,Extreme Fitness 2,3,2.5,PA,,0,,0
b12U9TFESStdy7CsTtcOeg,Carnegie,Flynn's Tire And Auto Service,7,2.5,PA,,5,,0
Sktj1eHQFuVa-M4bgnEh8g,Carnegie,Forsythe Miniature Golf & Snacks,4,4,PA,,0,,0
3ZVKmuK2l7uXPE6lXY4Dbg,Carnegie,Quaker State Construction,3,2.5,PA,,0,,0
QoDa50dc7g62xciFygXB9w,Pittsburgh,Greentree Animal Clinic,5,4,PA,,5,,0
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie,Carnegie Free Library,3,4.5,PA,,4,,0
_qopVQ6_Mz6W7-Pmbi56GQ,Carnegie,Advance Auto Parts,3,3.5,PA,,4,,0
yXuao0pFz1AxB21vJjDf5w,Carnegie,Shop N' Save,4,4,PA,1,23,Food,0
F04xyOUA2xnUoCiWpx9iJA,Carnegie,Rossi Tailoring & Cleaners,3,3,PA,,0,,0
Cdcus0NADzyY3XiJM2O5Sg,Carnegie,Heidelberg B P,4,3,PA,,0,,0
zaXDakTd3RXyOa7sMrUE1g,Carnegie,Barb's Country Junction Cafe,6,3.5,PA,1,15,,1
zgy27FSnvwdINfk5cXBIyQ,Carnegie,Extended Stay America - Pittsburgh - Carnegie,7,3.5,PA,2,7,,0
6o3RK6rTcN3nw-j-r2nQmA,Carnegie,Porto Fino Pizzaria & Gyro,4,2.5,PA,,0,,0
woOVJ0Z2f6XNCDntHA3b_g,Carnegie,Alteration World,10,4.5,PA,,0,,0
YX_cdwb0A62hdQRBiZJgtQ,Carnegie,Greentree Auto Body,3,2.5,PA,,0,,0
rv7CY8G_XibTx82YhuqQRw,Carnegie,Long John Silver's,5,3.5,PA,1,0,,1
e_U_FnpdKVgNb4mUN2cU_Q,Carnegie,"Weinberg Lisa, DMD",8,3,PA,,0,,0
SQ0j7bgSTazkVQlF5AnqyQ,Carnegie,Don Don Chinese Restaurant,9,2.5,PA,1,5,Chinese,1
L0YSY79uzz_FIInvKmvyIw,Carnegie,West Penn Dental Centers,4,4,PA,,0,,0
wqu7ILomIOPSduRwoWp4AQ,Pittsburgh,Denny's,9,4,PA,1,38,American (Traditional),1
1u2NauOy8xDj7aFQET680A,Carnegie,Amerifit,6,3,PA,,0,,0
